instrument,ts,bid,ask
EUR_USD,1640000000.0,1.09995,1.10003
EUR_USD,1640000001.0,1.09993,1.10001
EUR_USD,1640000002.0,1.09996,1.10004
EUR_USD,1640000003.0,1.09993,1.10001
EUR_USD,1640000004.0,1.09991,1.09999
EUR_USD,1640000005.0,1.09987,1.09995
EUR_USD,1640000006.0,1.0999,1.09998
EUR_USD,1640000007.0,1.09992,1.1
EUR_USD,1640000008.0,1.09987,1.09995
EUR_USD,1640000009.0,1.0999,1.09998
EUR_USD,1640000010.0,1.09988,1.09996
EUR_USD,1640000011.0,1.09987,1.09995
EUR_USD,1640000012.0,1.09986,1.09994
EUR_USD,1640000013.0,1.09987,1.09995
EUR_USD,1640000014.0,1.09985,1.09993
EUR_USD,1640000015.0,1.09985,1.09993
EUR_USD,1640000016.0,1.09986,1.09994
EUR_USD,1640000017.0,1.09985,1.09993
EUR_USD,1640000018.0,1.09976,1.09984
EUR_USD,1640000019.0,1.09982,1.0999
EUR_USD,1640000020.0,1.09982,1.0999
EUR_USD,1640000021.0,1.09985,1.09993
EUR_USD,1640000022.0,1.09984,1.09992
EUR_USD,1640000023.0,1.09985,1.09993
EUR_USD,1640000024.0,1.09988,1.09996
EUR_USD,1640000025.0,1.09991,1.09999
EUR_USD,1640000026.0,1.09984,1.09992
EUR_USD,1640000027.0,1.09982,1.0999
EUR_USD,1640000028.0,1.0998,1.09988
EUR_USD,1640000029.0,1.09984,1.09992
EUR_USD,1640000030.0,1.09979,1.09987
EUR_USD,1640000031.0,1.09983,1.09991
EUR_USD,1640000032.0,1.09982,1.0999
EUR_USD,1640000033.0,1.09986,1.09994
EUR_USD,1640000034.0,1.09986,1.09994
EUR_USD,1640000035.0,1.09979,1.09987
EUR_USD,1640000036.0,1.09975,1.09983
EUR_USD,1640000037.0,1.09973,1.09981
EUR_USD,1640000038.0,1.09975,1.09983
EUR_USD,1640000039.0,1.09971,1.09979
EUR_USD,1640000040.0,1.09974,1.09982
EUR_USD,1640000041.0,1.0997,1.09978
EUR_USD,1640000042.0,1.09967,1.09975
EUR_USD,1640000043.0,1.09972,1.0998
EUR_USD,1640000044.0,1.09976,1.09984
EUR_USD,1640000045.0,1.09976,1.09984
